Name,Critic Score,User Score
World of Goo,94,8.8
Metal Gear Solid V: The Phantom Pain,95,7.4
Portal 2,95,8.4
Persona 5 Royal,95,8.4
Madden NFL 2003,95,7.5
The Last of Us,95,9.2
The Legend of Zelda: Majora's Mask,95,9.2
The Legend of Zelda: A Link to the Past,95,9.0
Halo 2,95,8.2
Gran Turismo 3: A-Spec,95,8.5
Red Dead Redemption,95,8.9
The Legend of Zelda: Collector's Edition,95,9.0
LittleBigPlanet,95,6.8
Grand Theft Auto: Vice City,95,8.7
Grand Theft Auto: San Andreas,95,9.0
Baldur's Gate II: Shadows of Amn,95,9.2
Metal Gear Solid 2: Sons of Liberty,96,8.8
Gran Turismo,96,8.6
The Legend of Zelda: The Wind Waker,96,9.0
Half-Life,96,9.0
The Elder Scrolls V: Skyrim,96,8.5
The Legend of Zelda: Twilight Princess,96,9.1
The House in Fata Morgana - Dreams of the Revenants Edition,96,8.4
Mass Effect 2,96,8.9
Tekken 3,96,9.1
Batman: Arkham City,96,8.7
The Orange Box,96,9.2
Resident Evil 4,96,9.4
Uncharted 2: Among Thieves,96,8.8
GoldenEye 007,96,9.1
BioShock,96,8.9
Half-Life 2,96,9.2
NFL 2K1,97,6.3
Elden Ring,97,7.8
Halo: Combat Evolved,97,8.6
Super Mario Odyssey,97,9.0
Grand Theft Auto III,97,8.5
Metroid Prime,97,9.3
Perfect Dark,97,9.0
Tony Hawk's Pro Skater 3,97,7.4
The Legend of Zelda: Breath of the Wild,97,8.4
Disco Elysium: The Final Cut,97,8.3
Grand Theft Auto V,96,7.8
Red Dead Redemption 2,97,7.7
Super Mario Galaxy 2,97,9.1
Super Mario Galaxy,97,9.0
SoulCalibur,98,8.6
Grand Theft Auto IV,98,7.5
Tony Hawk's Pro Skater 2,98,7.4
The Legend of Zelda: Ocarina of Time,99,9.2
