title,release_date,genre,platform,units_sold
Minecraft,2009,Sandbox,"PC, Xbox 360 PlayStation 3, Various",238.0
Grand Theft Auto V,2013,Action Adventure,"PC, PlayStation 3, PlayStation 4, Xbox 360, Xbox One",135.0
Wii Sports,2006,Sports,Wii,82.9
Super Mario Bros.,1985,Platformer,"NES, Various",63.33
Pokémon Red/Green/Blue/Yellow,1996,RPG,"Game Boy, Game Boy Advance, Virtual Console",59.52
PlayerUnknown's Battlegrounds,2017,Battle Royale,"PC, PlayStation 4, Xbox One",70.0
Sonic the Hedgehog,1991,Platformer,"Mega Drive, Master System, Various",44.146
Wii Fit,2007,Fitness,Wii,43.8
Pokémon Gold/Silver/Crystal,1999,RPG,"Game Boy Color, Nintendo DS",42.21
Super Mario Bros. 3,1988,Platformer,"NES, Various",39.52
Super Mario Bros. 2,1986,Platformer,"FDS, NES, Various",38.39
Mario Kart Wii,2008,Racing,Wii,37.1
Pokémon Ruby/Sapphire/Emerald,2002,RPG,"GBA, 3DS",36.6
Super Mario World,1990,Platformer,"Super NES, Various",34.183
Wii Sports Resort,2009,Sports,Wii,33.08
New Super Mario Bros.,2006,Platformer,Nintendo DS,30.8
New Super Mario Bros. Wii,2009,Platformer,Wii,30.2
Duck Hunt,1984,Lightgun Shooter,NES,28.31
Wii Play,2006,Party,Wii,28.02
Grand Theft Auto: San Andreas,2004,Action Adventure,"PC, PlayStation 2, PlayStation 3 (PSN), Xbox, Mac OS X, Xbox 360 (XBLM)",27.5
Call of Duty: Modern Warfare 3,2011,FPS,"PC, Xbox 360, PlayStation 3, Wii",26.5
Pokémon Diamond/Pearl/Platinum,2006,RPG,Nintendo DS,25.27
Grand Theft Auto IV,2008,Action Adventure,"PC, PlayStation 3, Xbox 360",25.0
Call of Duty: Black Ops,2010,FPS,"PC, PlayStation 3, Xbox 360, Wii, Nintendo DS",25.0
Kinect Adventures,2010,Sports,Xbox 360,24.0
Call of Duty: Black Ops II,2012,FPS,"PC, PlayStation 3, Xbox 360",24.0
FIFA 18,2017,Sports,"PC, PlayStation 3, PlayStation 4, Xbox 360, Xbox One",24.0
Nintendogs,2005,Sim,Nintendo DS,23.96
Pokémon Sun and Moon,2016,RPG,Nintendo 3DS,23.61
Mario Kart DS,2005,Racing,Nintendo DS,23.6
Super Mario 64,1996,Platformer,"N64, Nintendo DS",23.24
Call of Duty: Modern Warfare 2,2009,FPS,"PC, Xbox 360, PlayStation 3",22.0
Street Fighter II,1991,Fighting,"Super NES, Mega Drive, Various",20.78
Call of Duty: WWII,2017,FPS,"PC, PlayStation 4, Xbox One",20.62
Mario Kart 8,2014,Racing,"Wii U, Switch",20.16
Frogger,1981,Action,"Arcade, Various",20.0
Terraria,2011,Platformer,"PC, Various",20.0
The Sims 2,2004,Sim,"PC, Various",20.0
The Elder Scrolls V: Skyrim,2011,Action RPG,"PC, Xbox 360, PlayStation 3",20.0
Brain Age,2005,Puzzle,Nintendo DS,19.01
Call of Duty: Ghosts,2013,FPS,"PC, Xbox 360, Xbox One, PlayStation 3, PlayStation 4, Wii U",19.0
Super Mario Land,1989,Platformer,"Game Boy, Game Boy Color",18.371
Grand Theft Auto: Vice City,2002,Action Adventure,"PC, Playstation 2, Xbox",17.5
Gran Turismo 3: A-Spec,2001,Racing Sim,Playstation 2,16.45
Pokémon X and Y,2013,RPG,Nintendo 3DS,16.29
Gran Turismo 5,2010,Racing Sim,Playstation 3,16.01
The Sims,2000,Life Sim,"PC, Mac OS",16.0
Call of Duty 4: Modern Warfare,2007,FPS,"PC, Xbox 360, Mac OS X, PlayStation 3, Wii",15.7
Call of Duty: World at War,2008,FPS,"PC, Xbox 360, PlayStation 3, Wii",15.7
Pokémon Black and White,2010,RPG,Nintendo DS,15.64
Diablo III,2012,RPG,"PC, Mac OS X, Xbox 360, PlayStation 3",15.0
